Date,Total_Income,Business_Phase,Log_Total_Income,Prev_Month_Income,Month_Num
2021-01-01,502483.57,Phase_A,13.127318221863412,,1
2021-02-01,514308.68,Phase_A,13.150578908929552,502483.57,2
2021-03-01,530558.95,Phase_A,13.181686352446041,514308.68,3
2021-04-01,542615.15,Phase_A,13.204155599937712,530558.95,4
2021-05-01,536149.74,Phase_A,13.192168766709258,542615.15,5
2021-06-01,533829.32,Phase_A,13.18783144138306,536149.74,6
2021-07-01,537896.06,Phase_A,13.19542062345295,533829.32,7
2021-08-01,528837.17,Phase_A,13.178435856274717,537896.06,8
2021-09-01,520332.12,Phase_A,13.162222578988176,528837.17,9
2021-10-01,527712.8,Phase_A,13.17630747530576,520332.12,10
2021-11-01,530362.4,Phase_A,13.181315825446564,527712.8,11
2021-12-01,542671.35,Phase_A,13.204259167060403,530362.4,12
2022-01-01,561209.81,Phase_A,13.237850107456808,542671.35,1
2022-02-01,565433.6,Phase_A,13.245348149430285,561209.81,2
2022-03-01,578695.92,Phase_A,13.268532437251954,565433.6,3
2022-04-01,592188.56,Phase_A,13.291580376664996,578695.92,4
2022-05-01,592256.35,Phase_A,13.291694843787107,592188.56,5
2022-06-01,596571.24,Phase_A,13.298953943397294,592256.35,6
2022-07-01,585459.88,Phase_A,13.280152937041896,596571.24,7
2022-08-01,577938.48,Phase_A,13.267222706003643,585459.88,8
2022-09-01,590007.74,Phase_A,13.287890934439922,577938.48,9
2022-10-01,583871.12,Phase_A,13.277435552524354,590007.74,10
2022-11-01,593017.13,Phase_A,13.292978564577817,583871.12,11
2022-12-01,597876.26,Phase_A,13.301139088444312,593017.13,12
2023-01-01,617278.09,Phase_B,13.333074914474912,597876.26,1
2023-02-01,635554.61,Phase_B,13.362253298256416,617278.09,2
2023-03-01,641565.54,Phase_B,13.371666624615727,635554.61,3
2023-04-01,656878.49,Phase_B,13.395254333634442,641565.54,4
2023-05-01,654317.31,Phase_B,13.391347696262125,656878.49,5
2023-06-01,653541.53,Phase_B,13.390161360141958,654317.31,6
2023-07-01,646991.47,Phase_B,13.380088389470318,653541.53,7
2023-08-01,654261.39,Phase_B,13.391262229488083,646991.47,8
2023-09-01,642612.01,Phase_B,13.373296415187346,654261.39,9
2023-10-01,639711.45,Phase_B,13.368772494293207,642612.01,10
2023-11-01,656792.22,Phase_B,13.395122991739603,639711.45,11
2023-12-01,658895.78,Phase_B,13.398320652267651,656792.22,12
2024-01-01,681044.32,Phase_B,13.43138266377757,658895.78,1
2024-02-01,685201.65,Phase_B,13.437468453485245,681044.32,2
2024-03-01,700679.58,Phase_B,13.459805971647695,685201.65,3
2024-04-01,715984.31,Phase_B,13.481413532294859,700679.58,4
2024-05-01,721012.84,Phase_B,13.488412224707682,715984.31,5
2024-06-01,715856.84,Phase_B,13.481235481817212,721012.84,6
2024-07-01,709421.76,Phase_B,13.472205494660079,715856.84,7
2024-08-01,703494.48,Phase_B,13.463815309023921,709421.76,8
2024-09-01,695286.88,Phase_B,13.452079816356365,703494.48,9
2024-10-01,701400.78,Phase_B,13.460834728749187,695286.88,10
2024-11-01,710376.3,Phase_B,13.473550108617104,701400.78,11
2024-12-01,730285.61,Phase_B,13.501190983182932,710376.3,12
2025-01-01,741718.09,Phase_C,13.516724517342281,730285.61,1
2025-02-01,746184.8,Phase_C,13.522728569687697,741718.09,2
2025-03-01,768940.93,Phase_C,13.552769431493218,746184.8,3
2025-04-01,773074.59,Phase_C,13.55813081709282,768940.93,4
2025-05-01,773935.9,Phase_C,13.559244332604917,773074.59,5
2025-06-01,778058.38,Phase_C,13.564556838905688,773935.9,6
2025-07-01,775155.0,Phase_C,13.560818288338151,778058.38,7
2025-08-01,769656.4,Phase_C,13.553699460471718,775155.0,8
2025-09-01,758483.4,Phase_C,13.539076192231303,769656.4,9
2025-10-01,763453.94,Phase_C,13.545608074381628,758483.4,10
2025-11-01,774335.81,Phase_C,13.559760921529602,763453.94,11
2025-12-01,789877.73,Phase_C,13.57963344031286,774335.81,12
2026-01-01,797604.13,Phase_C,13.589367675650461,789877.73,1
2026-02-01,814071.71,Phase_C,13.609803736927564,797604.13,2
2026-03-01,821788.83,Phase_C,13.619238743224203,814071.71,3
2026-04-01,829018.97,Phase_C,13.627998316847176,821788.83,4
